order_item_id,order_id,product_id,quantity,unit_price
OI00001,ORD00001,PROD0004,1,23.14
OI00002,ORD00002,PROD0029,5,18.2
OI00003,ORD00002,PROD0007,5,7.41
OI00004,ORD00002,PROD0026,1,63
OI00005,ORD00003,PROD0002,4,95.62
OI00006,ORD00003,PROD0004,3,24.25
OI00007,ORD00003,PROD0021,2,78.67
OI00008,ORD00004,PROD0005,3,59.83
OI00009,ORD00004,PROD0026,2,46.89
OI00010,ORD00005,PROD0019,3,41.32
OI00011,ORD00005,PROD0021,3,48.8
OI00012,ORD00006,PROD0016,2,8.51
OI00013,ORD00006,PROD0009,3,25.96
OI00014,ORD00006,PROD0003,3,48.77
OI00015,ORD00007,PROD0012,5,73.8
OI00016,ORD00008,PROD0006,5,7.42
OI00017,ORD00008,PROD0016,1,73.9
OI00018,ORD00008,PROD0010,5,73.96
OI00019,ORD00009,PROD0017,2,37.86
OI00020,ORD00009,PROD0001,5,42.93
OI00021,ORD00009,PROD0026,3,82.65
OI00022,ORD00010,PROD0023,5,42.7
OI00023,ORD00010,PROD0003,5,30.27
OI00024,ORD00011,PROD0009,5,40.86
OI00025,ORD00011,PROD0028,4,29.78
OI00026,ORD00012,PROD0019,1,13.08
OI00027,ORD00012,PROD0025,2,98.48
OI00028,ORD00012,PROD0015,5,15.45
OI00029,ORD00013,PROD0020,3,79.26
OI00030,ORD00013,PROD0024,1,50.25
OI00031,ORD00013,PROD0009,4,17.07
OI00032,ORD00014,PROD0021,3,14.06
OI00033,ORD00014,PROD0029,5,98.25
OI00034,ORD00015,PROD0020,3,62.36
OI00035,ORD00015,PROD0019,1,46.57
OI00036,ORD00016,PROD0014,5,99.96
OI00037,ORD00016,PROD0030,1,3.4
OI00038,ORD00016,PROD0012,4,24.25
OI00039,ORD00017,PROD0027,2,44.33
OI00040,ORD00017,PROD0028,4,94.15
OI00041,ORD00018,PROD0016,1,43.43
OI00042,ORD00018,PROD0018,2,85.34
OI00043,ORD00018,PROD0002,2,73.44
OI00044,ORD00019,PROD0030,2,91.05
OI00045,ORD00019,PROD0013,1,21.82
OI00046,ORD00020,PROD0011,1,66.55
OI00047,ORD00020,PROD0026,4,86.93
OI00048,ORD00021,PROD0014,1,92.8
OI00049,ORD00022,PROD0009,3,81.75
OI00050,ORD00022,PROD0008,2,38.01
OI00051,ORD00023,PROD0016,5,41.14
OI00052,ORD00023,PROD0011,2,50.9
OI00053,ORD00024,PROD0007,4,3.41
OI00054,ORD00024,PROD0020,5,83.82
OI00055,ORD00024,PROD0023,5,41.87
OI00056,ORD00025,PROD0023,5,7.45
OI00057,ORD00026,PROD0025,3,19.34
OI00058,ORD00027,PROD0009,2,15.33
OI00059,ORD00027,PROD0019,4,89.42
OI00060,ORD00027,PROD0026,1,63.49
OI00061,ORD00028,PROD0018,3,23.52
OI00062,ORD00028,PROD0002,3,97.19
OI00063,ORD00028,PROD0011,3,39.64
OI00064,ORD00029,PROD0022,1,84.04
OI00065,ORD00029,PROD0014,3,46.41
OI00066,ORD00030,PROD0028,2,25.33
OI00067,ORD00031,PROD0025,5,29.3
OI00068,ORD00031,PROD0019,2,20.61
OI00069,ORD00031,PROD0021,5,88.19
OI00070,ORD00032,PROD0010,3,26.42
OI00071,ORD00033,PROD0010,2,10.82
OI00072,ORD00033,PROD0007,1,52.52
OI00073,ORD00033,PROD0017,5,35.23
OI00074,ORD00034,PROD0014,3,71.12
OI00075,ORD00034,PROD0018,3,28.51
OI00076,ORD00035,PROD0006,5,53.89
OI00077,ORD00036,PROD0018,5,58.43
OI00078,ORD00036,PROD0023,4,38.38
OI00079,ORD00036,PROD0012,4,93.95
OI00080,ORD00037,PROD0017,3,56.54
OI00081,ORD00038,PROD0003,4,53.18
OI00082,ORD00038,PROD0002,5,94.02
OI00083,ORD00038,PROD0018,4,49.92
OI00084,ORD00039,PROD0009,2,20.89
OI00085,ORD00040,PROD0013,4,68.67
OI00086,ORD00040,PROD0013,2,65.39
OI00087,ORD00041,PROD0028,3,46.83
OI00088,ORD00042,PROD0011,2,38.57
OI00089,ORD00043,PROD0019,5,14.09
OI00090,ORD00043,PROD0027,2,2.96
OI00091,ORD00044,PROD0014,1,43.59
OI00092,ORD00044,PROD0009,3,79.52
OI00093,ORD00044,PROD0028,3,56.84
OI00094,ORD00045,PROD0024,1,41.41
OI00095,ORD00046,PROD0006,2,28.47
OI00096,ORD00046,PROD0014,5,55.56
OI00097,ORD00047,PROD0007,1,85.93
OI00098,ORD00048,PROD0011,3,95.46
OI00099,ORD00049,PROD0030,1,1.95
OI00100,ORD00049,PROD0004,5,76.3
OI00101,ORD00049,PROD0028,2,83.44
OI00102,ORD00050,PROD0027,5,26.16
OI00103,ORD00050,PROD0018,4,38.68
OI00104,ORD00050,PROD0028,4,10.38
OI00105,ORD00051,PROD0003,2,68.56
OI00106,ORD00052,PROD0026,2,74.69
OI00107,ORD00052,PROD0028,2,64.08
OI00108,ORD00053,PROD0014,1,32.71
OI00109,ORD00053,PROD0006,5,48.02
OI00110,ORD00054,PROD0010,4,36.2
OI00111,ORD00055,PROD0022,1,44.57
OI00112,ORD00055,PROD0001,5,98.73
OI00113,ORD00056,PROD0017,5,71.44
OI00114,ORD00057,PROD0024,4,76.46
OI00115,ORD00058,PROD0005,5,47.44
OI00116,ORD00058,PROD0010,4,47.76
OI00117,ORD00058,PROD0017,3,33.31
OI00118,ORD00059,PROD0020,3,34.87
OI00119,ORD00059,PROD0027,1,53.69
OI00120,ORD00060,PROD0021,1,30.33
OI00121,ORD00060,PROD0016,1,3.15
OI00122,ORD00061,PROD0030,2,25.42
OI00123,ORD00061,PROD0030,5,72.66
OI00124,ORD00062,PROD0019,5,24.03
OI00125,ORD00062,PROD0015,5,48.81
OI00126,ORD00063,PROD0016,2,7.16
OI00127,ORD00063,PROD0028,2,23.36
OI00128,ORD00064,PROD0030,5,43.84
OI00129,ORD00064,PROD0007,1,4.23
OI00130,ORD00064,PROD0020,5,45.82
OI00131,ORD00065,PROD0006,1,12.39
OI00132,ORD00066,PROD0004,5,50.22
OI00133,ORD00066,PROD0020,2,35.06
OI00134,ORD00067,PROD0030,3,46.93
OI00135,ORD00067,PROD0029,2,19.52
OI00136,ORD00068,PROD0012,2,72.55
OI00137,ORD00068,PROD0023,4,62.99
OI00138,ORD00069,PROD0011,5,82.56
OI00139,ORD00069,PROD0027,2,11.23
OI00140,ORD00069,PROD0015,4,95.17
OI00141,ORD00070,PROD0013,4,54.86
OI00142,ORD00070,PROD0011,2,26.61
OI00143,ORD00071,PROD0014,2,88.57
OI00144,ORD00072,PROD0030,2,90.03
OI00145,ORD00072,PROD0026,4,57.36
OI00146,ORD00073,PROD0021,5,9.28
OI00147,ORD00073,PROD0012,1,96.33
OI00148,ORD00073,PROD0002,4,65.58
OI00149,ORD00074,PROD0026,3,26.16
OI00150,ORD00074,PROD0018,3,6.85
OI00151,ORD00074,PROD0003,1,43.04
OI00152,ORD00075,PROD0023,2,68.48
OI00153,ORD00075,PROD0003,3,2.2
OI00154,ORD00075,PROD0006,1,42.01
OI00155,ORD00076,PROD0002,4,63.72
OI00156,ORD00076,PROD0005,5,58.84
OI00157,ORD00076,PROD0022,1,48.25
OI00158,ORD00077,PROD0019,5,100.95
OI00159,ORD00077,PROD0027,1,65.78
OI00160,ORD00078,PROD0026,5,39.4
OI00161,ORD00079,PROD0001,4,23.88
OI00162,ORD00079,PROD0007,1,23.53
OI00163,ORD00080,PROD0007,5,89.97
OI00164,ORD00080,PROD0022,2,67.16
OI00165,ORD00080,PROD0018,4,89.35
OI00166,ORD00081,PROD0004,2,48.69
OI00167,ORD00082,PROD0028,4,77.64
OI00168,ORD00082,PROD0020,3,39.5
OI00169,ORD00083,PROD0013,2,87.12
OI00170,ORD00083,PROD0021,4,21.99
OI00171,ORD00083,PROD0002,4,68.99
OI00172,ORD00084,PROD0025,3,50.34
OI00173,ORD00084,PROD0001,5,22.9
OI00174,ORD00085,PROD0026,5,56.33
OI00175,ORD00085,PROD0009,3,57.53
OI00176,ORD00086,PROD0027,3,33.18
OI00177,ORD00086,PROD0003,5,13.02
OI00178,ORD00086,PROD0026,2,28.12
OI00179,ORD00087,PROD0005,2,4.23
OI00180,ORD00088,PROD0027,5,72.85
OI00181,ORD00088,PROD0014,5,84.63
OI00182,ORD00089,PROD0029,3,22.81
OI00183,ORD00090,PROD0016,2,83.59
OI00184,ORD00090,PROD0017,1,45.11
OI00185,ORD00091,PROD0006,5,49.17
OI00186,ORD00091,PROD0002,1,32.4
OI00187,ORD00091,PROD0004,5,44.88
OI00188,ORD00092,PROD0003,2,74.26
OI00189,ORD00093,PROD0030,1,42.79
OI00190,ORD00093,PROD0018,1,32.92
