product_id,product_name,category,price,stock_quantity,supplier_id
PROD0001,Product 1,Home,349.18,15,SUPP0003
PROD0002,Product 2,Clothing,403.48,0,SUPP0005
PROD0003,Product 3,Home,418.46,141,SUPP0009
PROD0004,Product 4,Clothing,95.86,42,SUPP0001
PROD0005,Product 5,Books,505.28,18,SUPP0004
PROD0006,Product 6,Electronics,411.11,42,SUPP0010
PROD0007,Product 7,Sports,145.65,70,SUPP0001
PROD0008,Product 8,Home,97.99,125,SUPP0008
PROD0009,Product 9,Electronics,334.45,30,SUPP0009
PROD0010,Product 10,Sports,118.67,128,SUPP0005
PROD0011,Product 11,Sports,336.02,44,SUPP0004
PROD0012,Product 12,Home,65.25,128,SUPP0007
PROD0013,Product 13,Sports,195.14,179,SUPP0002
PROD0014,Product 14,Sports,289.19,144,SUPP0008
PROD0015,Product 15,Sports,495.87,79,SUPP0009
PROD0016,Product 16,Clothing,336.16,121,SUPP0004
PROD0017,Product 17,Home,46.69,4,SUPP0002
PROD0018,Product 18,Electronics,250.74,73,SUPP0003
PROD0019,Product 19,Sports,237.32,145,SUPP0001
PROD0020,Product 20,Books,62.04,118,SUPP0003
PROD0021,Product 21,Home,497.34,169,SUPP0009
PROD0022,Product 22,Home,302.87,47,SUPP0002
PROD0023,Product 23,Books,210.37,101,SUPP0004
PROD0024,Product 24,Sports,405.6,143,SUPP0006
PROD0025,Product 25,Books,466.53,55,SUPP0001
PROD0026,Product 26,Sports,215.92,23,SUPP0001
PROD0027,Product 27,Home,398.84,176,SUPP0007
PROD0028,Product 28,Clothing,113.93,90,SUPP0006
PROD0029,Product 29,Home,36.36,55,SUPP0005
PROD0030,Product 30,Books,381.24,52,SUPP0007
