studentId,class
1,12O
2,4W
3,10X
4,1W
5,10D
6,1Q
7,4T
8,8B
9,10H
10,10Z
11,9C
12,11T
13,3H
14,7N
15,11N
16,9N
17,7U
18,4W
19,5R
20,3B
21,3U
22,9A
23,5U
24,3Q
25,3W
26,6R
27,2J
28,2H
29,10B
30,3S
31,3G
32,7M
33,9U
34,2M
35,8O
36,6O
37,7D
38,8X
39,3M
40,8R
41,12H
42,12A
43,10H
44,10A
45,10M
46,1T
47,1T
48,2O
49,6J
50,12L
51,6G
52,2H
53,9A
54,7R
55,7M
56,6Y
57,4D
58,2U
59,1W
60,7V
61,10I
62,7I
63,12S
64,4Y
65,3B
66,10K
67,10B
68,5N
69,5A
70,4J
71,6Y
72,11W
73,11X
74,3P
75,11J
76,1O
77,9S
78,8Y
79,1L
80,6B
81,5Z
82,11T
83,2V
84,6M
85,9Z
86,10L
87,3C
88,8I
89,3M
90,3M
91,6G
92,9C
93,9B
94,7S
95,9Y
96,3L
97,11A
98,6B
99,2M
100,4A
101,7T
102,5W
103,4G
104,6Y
105,8V
106,12R
107,10Y
108,11A
109,3I
110,8K
111,1H
112,11Z
113,6F
114,12M
115,11O
116,2S
117,12F
118,3O
119,6M
120,3K
121,2N
122,9H
123,2M
124,10V
125,7X
126,7E
127,10E
128,6E
129,3J
130,3X
131,1D
132,6W
133,2U
134,2N
135,9C
136,7V
137,9A
138,7I
139,10O
140,10X
141,4G
142,6Z
143,2Q
144,12H
145,8N
146,2R
147,7A
148,2X
149,6D
150,10R
151,7M
152,4D
153,7J
154,8K
155,11U
156,12O
157,8Q
158,1J
159,7G
160,11Y
161,5A
162,4L
163,9F
164,8A
165,7M
166,12C
167,11F
168,10O
169,11R
170,7P
171,11L
172,4T
173,6H
174,1B
175,5C
176,9Z
177,8Z
178,5I
179,1D
180,3V
181,11F
182,5U
183,2V
184,6D
185,11G
186,1V
187,3X
188,4O
189,5I
190,4D
191,11G
192,1H
193,11R
194,7T
195,2W
196,2C
197,9I
198,3V
199,8C
200,5G
201,7P
202,1Q
203,11A
204,3X
205,6C
206,12E
207,1M
208,5O
209,11H
210,3H
211,9S
212,7X
213,6W
214,12A
215,2T
216,2Y
217,6K
218,5L
219,8X
220,12Q
221,3S
222,6U
223,7J
224,5R
225,7K
226,10P
227,3T
228,12S
229,5Q
230,9V
231,1D
232,10V
233,3G
234,10G
235,6V
236,9S
237,6T
238,5R
239,5I
240,12B
241,12D
242,12B
243,6S
244,11S
245,8Q
246,8B
247,3B
248,1F
249,8B
250,4I
251,11I
252,8S
253,7G
254,12Z
255,12S
256,2N
257,2S
258,2W
259,7Q
260,9Q
261,10U
262,3E
263,9D
264,3B
265,5B
266,4R
267,11Z
268,1H
269,6G
270,2Y
271,9S
272,12L
273,9O
274,11X
275,2P
276,6I
277,4U
278,8Q
279,12U
280,3N
281,12Y
282,3J
283,7W
284,5W
285,10F
286,11B
287,4Y
288,3I
289,8P
290,5P
291,5W
292,8D
293,11U
294,1I
295,6C
296,6P
297,6R
298,7E
299,10Z
300,6E
301,4X
302,5Y
303,7L
304,6K
305,11N
306,6M
307,5B
308,6R
309,5X
310,1B
311,4S
312,6F
313,3E
314,12B
315,12I
316,5M
317,12R
318,3C
319,3J
320,7J
321,7L
322,5D
323,3T
324,2J
325,2T
326,5O
327,5H
328,7P
329,1N
330,8O
331,6K
332,9W
333,3U
334,6W
335,11D
336,1H
337,9D
338,6J
339,3E
340,5A
341,7E
342,3D
343,4P
344,6B
345,10D
346,6D
347,3P
348,8Q
349,9U
350,9U
351,9P
352,10D
353,1I
354,5W
355,9R
356,2B
357,9M
358,2V
359,2V
360,10R
361,4K
362,3F
363,7V
364,2V
365,5X
366,5X
367,7R
368,4U
369,12R
370,3B
371,10V
372,6B
373,2I
374,5L
375,12G
376,4D
377,10M
378,5C
379,3M
380,11M
381,4D
382,10P
383,7E
384,5R
385,10L
386,8B
387,9G
388,3T
389,10V
390,1O
391,5Y
392,7K
393,10F
394,2V
395,8X
396,4F
397,9M
398,7S
399,1Q
400,4B
401,5N
402,2Q
403,3P
404,5U
405,8H
406,10A
407,4W
408,7P
409,4P
410,4Z
411,5H
412,3B
413,10D
414,10I
415,10Q
416,3Q
417,7G
418,1I
419,4C
420,1O
421,10P
422,7V
423,11H
424,3B
425,3C
426,5M
427,10I
428,7F
429,8S
430,8B
431,5K
432,11T
433,6T
434,3I
435,3O
436,6S
437,12L
438,5U
439,12P
440,7R
441,7H
442,4C
443,5G
444,2Y
445,12R
446,4W
447,3I
448,6J
449,7E
450,3V
451,8R
452,4A
453,8X
454,9A
455,5R
456,7C
457,1E
458,5S
459,4I
460,8G
461,12B
462,12M
463,7P
464,8U
465,7V
466,8U
467,5W
468,1O
469,5S
470,10W
471,10S
472,10F
473,5P
474,8R
475,3H
476,9L
477,7L
478,1B
479,7A
480,8T
481,5S
482,3F
483,3W
484,7S
485,1L
486,11G
487,7L
488,10H
489,11E
490,7V
491,9K
492,11W
493,1M
494,7A
495,4Z
496,5H
497,2N
498,12C
499,11V
500,7Z
501,1T
502,7P
503,7G
504,11S
505,11O
506,1H
507,3P
508,6A
509,3H
510,12Q
511,4R
512,3K
513,3Q
514,4F
515,3Q
516,3P
517,2Q
518,10T
519,5G
520,8O
521,2P
522,3E
523,1X
524,2A
525,3F
526,7Q
527,10H
528,10J
529,8I
530,8X
531,8B
532,1O
533,2C
534,1Y
535,4C
536,11P
